filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
B71example0.fast5	8cc4f163-d76e-464a-aacb-9d6603e55b89	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	315	1	88835.537750	99.679750	79743	TRUE	88835.569000	79718	99.648500	40241	10.250035	3.011611	74.210251	9.496099	74.210251	9.496099
B71example0.fast5	906feebf-ab36-47ad-a0ae-c0bc89e7b525	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	392	3	34563.000000	85.412750	68330	TRUE	34563.166250	68197	85.246500	30690	15.285681	3.067260	76.320496	9.847805	76.320496	9.847805
B71example0.fast5	79c429f2-7921-4f3b-aaff-6e370d32489d	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	416	3	93759.298000	65.105750	52084	TRUE	93759.298000	52084	65.105750	21840	13.917360	2.960980	81.771957	10.023659	81.771957	10.023659
B71example0.fast5	79e155fc-32aa-44bf-a13d-c55e3c8e6c50	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	408	4	57227.245500	18.032250	14425	TRUE	57227.245500	14425	18.032250	5194	11.990000	2.797823	77.199760	13.013171	77.199760	13.013171
B71example0.fast5	92e72b28-d679-4d6e-b7c4-db045ce36082	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	473	4	83488.566250	47.948750	38359	TRUE	83488.620000	38316	47.895000	16107	12.848856	2.938828	75.617081	9.671952	75.617081	9.671952
B71example0.fast5	94d0dc51-89c0-485a-a7bd-f582a9e42366	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	366	1	82332.379750	90.060250	72048	TRUE	82333.223500	71373	89.216500	32072	12.333550	2.983998	69.110489	8.792684	69.110489	8.792684
B71example0.fast5	7dc0334d-b687-43fe-bcfd-64cc2521bed6	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	178	3	81301.477750	74.437750	59550	TRUE	81301.646500	59415	74.269000	23172	15.059315	2.905360	68.055367	8.792684	68.055367	8.792684
B71example0.fast5	e5f97851-23a4-4a90-9fbc-97f7fe26be7d	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	13	1	32504.518500	141.092500	112874	TRUE	32504.569750	112833	141.041250	51130	14.262147	3.056705	77.375618	9.671952	77.375618	9.671952
B71example0.fast5	9e5329ca-bcce-438c-9d5b-70248913a209	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	373	4	71001.533750	102.174500	81739	TRUE	71001.783750	81539	101.924500	33248	15.854309	2.967190	69.813904	9.320245	69.813904	9.320245
B71example0.fast5	7e6568db-68e2-4545-910b-1c49ad8d08c6	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	507	4	89414.638750	59.838750	47871	TRUE	89414.721250	47805	59.756250	21486	11.029906	2.943354	83.706345	10.199512	83.706345	10.199512
B71example0.fast5	e68569f6-06f7-4c26-8703-4725cf4d8974	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	263	3	2951.049500	46.700000	37360	TRUE	2951.154500	37276	46.595000	20341	14.079659	3.224631	75.968788	9.496099	75.968788	9.496099
B71example0.fast5	a3c8392c-1582-4777-b50d-0239b15bb94c	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	95	1	56646.193000	127.396000	101916	TRUE	56646.618000	101576	126.971000	43116	15.497014	3.014104	79.134148	9.847805	79.134148	9.847805
B71example0.fast5	e6fcae70-a8d7-4e79-b02d-a3c7696f63a5	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	44	2	107204.833500	63.810750	51048	TRUE	107204.913500	50984	63.730750	23255	11.418307	2.980450	76.848053	9.496099	76.848053	9.496099
